date,Kilometerstand,Tageskilometer
01.01.2020,210,0
03.01.2020,220,10
07.01.2020,246,26
08.01.2020,264,18
09.01.2020,281,17
10.01.2020,293,12
11.01.2020,304,11
13.01.2020,313,9
14.01.2020,326,13
16.01.2020,343,17
17.01.2020,357,14
18.01.2020,369,12
20.01.2020,380,11
21.01.2020,389,9
22.01.2020,398,9
23.01.2020,409,11
24.01.2020,418,9
25.01.2020,429,11
26.01.2020,436,7
27.01.2020,445,9
28.01.2020,454,9
29.01.2020,463,9
30.01.2020,474,11
31.01.2020,493,19
04.02.2020,511,18
05.02.2020,521,10
06.02.2020,535,14
07.02.2020,544,9
09.02.2020,555,11
10.02.2020,564,9
11.02.2020,573,9
12.02.2020,588,15
13.02.2020,600,12
14.02.2020,611,11
16.02.2020,627,16
17.02.2020,642,15
18.02.2020,654,12
19.02.2020,665,11
20.02.2020,689,24
21.02.2020,715,26
22.02.2020,775,60
23.02.2020,788,13
25.02.2020,819,31
26.02.2020,836,17
27.02.2020,845,9
28.02.2020,854,9
29.02.2020,882,28
01.03.2020,897,15
02.03.2020,906,9
03.03.2020,915,9
04.03.2020,924,9
05.03.2020,937,13
06.03.2020,946,9
07.03.2020,948,2
08.03.2020,959,11
10.03.2020,979,20
12.03.2020,992,13
13.03.2020,1002,10
17.03.2020,1030,28
18.03.2020,1036,6
19.03.2020,1042,6
21.03.2020,1047,5
24.03.2020,1053,6
25.03.2020,1060,7
26.03.2020,1066,6
27.03.2020,1079,13
30.03.2020,1095,16
02.04.2020,1098,3
07.04.2020,1104,6
10.04.2020,1106,2
11.04.2020,1108,2
12.04.2020,1118,10
14.04.2020,1124,6
15.04.2020,1127,3
16.04.2020,1128,1
18.04.2020,1138,10
19.04.2020,1146,8
20.04.2020,1148,2
21.04.2020,1150,2
23.04.2020,1158,8
26.04.2020,1165,7
27.04.2020,1167,2
28.04.2020,1178,11
30.04.2020,1209,31
01.05.2020,1240,31
02.05.2020,1243,3
06.05.2020,1251,8
07.05.2020,1262,11
09.05.2020,1267,5
10.05.2020,1278,11
18.05.2020,1290,12
19.05.2020,1300,10
20.05.2020,1309,9
21.05.2020,1330,21
24.05.2020,1333,3
25.05.2020,1342,9
26.05.2020,1351,9
27.05.2020,1362,11
28.05.2020,1371,9
29.05.2020,1381,10
30.05.2020,1395,14
31.05.2020,1465,70
01.06.2020,1555,90
02.06.2020,1646,91
03.06.2020,1737,91
04.06.2020,1814,77
05.06.2020,1888,74
06.06.2020,1990,102
09.06.2020,2004,14
10.06.2020,2013,9
11.06.2020,2031,18
12.06.2020,2041,10
14.06.2020,2053,12
15.06.2020,2062,9
16.06.2020,2071,9
17.06.2020,2089,18
19.06.2020,2093,4
22.06.2020,2102,9
23.06.2020,2111,9
24.06.2020,2120,9
25.06.2020,2131,11
12.07.2020,2153,22
13.07.2020,2162,9
14.07.2020,2173,11
15.07.2020,2181,8
16.07.2020,2190,9
17.07.2020,2205,15
18.07.2020,2209,4
20.07.2020,2216,7
21.07.2020,2225,9
22.07.2020,2234,9
23.07.2020,2243,9
24.07.2020,2252,9
25.07.2020,2262,10
27.07.2020,2271,9
28.07.2020,2280,9
29.07.2020,2291,11
30.07.2020,2300,9
31.07.2020,2314,14
01.08.2020,2317,3
03.08.2020,2325,8
04.08.2020,2327,2
05.08.2020,2338,11
06.08.2020,2350,12
07.08.2020,2358,8
08.08.2020,2384,26
09.08.2020,2415,31
10.08.2020,2424,9
11.08.2020,2450,26
12.08.2020,2462,12
13.08.2020,2470,8
14.08.2020,2479,9
15.08.2020,2482,3
16.08.2020,2496,14
17.08.2020,2506,10
19.08.2020,2523,17
20.08.2020,2582,59
22.08.2020,2587,5
24.08.2020,2595,8
25.08.2020,2614,19
27.08.2020,2623,9
07.09.2020,2632,9
08.09.2020,2648,16
09.09.2020,2657,9
10.09.2020,2676,19
15.09.2020,2685,9
16.09.2020,2695,10
17.09.2020,2707,12
18.09.2020,2709,2
19.09.2020,2720,11
20.09.2020,2735,15
21.09.2020,2744,9
22.09.2020,2762,18
23.09.2020,2773,11
24.09.2020,2783,10
25.09.2020,2790,7
26.09.2020,2797,7
28.09.2020,2808,11
29.09.2020,2820,12
30.09.2020,2830,10
01.10.2020,2841,11
02.10.2020,2854,13
05.10.2020,2868,14
06.10.2020,2879,11
07.10.2020,2888,9
08.10.2020,2904,16
09.10.2020,2911,7
10.10.2020,2916,5
11.10.2020,2919,3
12.10.2020,2927,8
13.10.2020,2936,9
14.10.2020,2945,9
15.10.2020,2957,12
16.10.2020,2971,14
17.10.2020,2974,3
18.10.2020,2986,12
19.10.2020,2995,9
20.10.2020,3005,10
21.10.2020,3014,9
22.10.2020,3027,13
23.10.2020,3035,8
24.10.2020,3051,16
26.10.2020,3061,10
27.10.2020,3070,9
29.10.2020,3072,2
30.10.2020,3079,7
01.11.2020,3092,13
02.11.2020,3101,9
03.11.2020,3114,13
04.11.2020,3122,8
05.11.2020,3136,14
06.11.2020,3143,7
07.11.2020,3146,3
09.11.2020,3159,13
10.11.2020,3168,9
11.11.2020,3177,9
12.11.2020,3188,11
13.11.2020,3197,9
14.11.2020,3205,8
16.11.2020,3216,11
17.11.2020,3227,11
19.11.2020,3236,9
20.11.2020,3247,11
21.11.2020,3259,12
22.11.2020,3268,9
23.11.2020,3271,3
26.11.2020,3273,2
27.11.2020,3275,2
30.11.2020,3278,3
01.12.2020,3285,7
02.12.2020,3290,5
04.12.2020,3291,1
05.12.2020,3304,13
07.12.2020,3314,10
08.12.2020,3322,8
09.12.2020,3337,15
10.12.2020,3346,9
12.12.2020,3349,3
19.12.2020,3354,5
20.12.2020,3360,6
23.12.2020,3369,9
29.12.2020,3371,2
04.01.2021,3374,3
08.01.2021,3381,7
10.01.2021,3386,5
13.01.2021,3394,8
16.01.2021,3397,3
20.01.2021,3404,7
23.01.2021,3407,3
27.01.2021,3414,7
30.01.2021,3419,5
03.02.2021,3426,7
06.02.2021,3429,3
10.02.2021,3437,8
13.02.2021,3443,6
17.02.2021,3449,6
10.03.2021,3457,8
13.03.2021,3460,3
15.03.2021,3468,8
16.03.2021,3477,9
17.03.2021,3485,8
18.03.2021,3494,9
19.03.2021,3503,9
20.03.2021,3523,20
22.03.2021,3533,10
23.03.2021,3548,15
24.03.2021,3557,9
25.03.2021,3566,9
27.03.2021,3570,4
30.03.2021,3581,11
31.03.2021,3590,9
01.04.2021,3599,9
03.04.2021,3601,2
05.04.2021,3606,5
06.04.2021,3615,9
07.04.2021,3624,9
08.04.2021,3633,9
09.04.2021,3642,9
10.04.2021,3651,9
11.04.2021,3670,19
12.04.2021,3679,9
13.04.2021,3688,9
14.04.2021,3697,9
15.04.2021,3714,17
16.04.2021,3723,9
17.04.2021,3728,5
19.04.2021,3736,8
20.04.2021,3745,9
21.04.2021,3754,9
22.04.2021,3764,10
23.04.2021,3772,8
24.04.2021,3775,3
26.04.2021,3784,9
27.04.2021,3793,9
28.04.2021,3802,9
29.04.2021,3812,10
30.04.2021,3835,23
03.05.2021,3844,9
04.05.2021,3853,9
05.05.2021,3862,9
06.05.2021,3874,12
07.05.2021,3883,9
08.05.2021,3907,24
09.05.2021,3917,10
10.05.2021,3926,9
11.05.2021,3939,13
12.05.2021,3948,9
13.05.2021,3955,7
15.05.2021,3958,3
17.05.2021,3967,9
18.05.2021,3980,13
19.05.2021,3990,10
20.05.2021,4009,19
21.05.2021,4025,16
22.05.2021,4030,5
24.05.2021,4105,75
25.05.2021,4121,16
26.05.2021,4218,97
27.05.2021,4229,11
28.05.2021,4291,62
29.05.2021,4296,5
30.05.2021,4307,11
31.05.2021,4315,8
01.06.2021,4326,11
02.06.2021,4337,11
03.06.2021,4350,13
04.06.2021,4359,9
05.06.2021,4362,3
06.06.2021,4375,13
07.06.2021,4384,9
08.06.2021,4393,9
09.06.2021,4402,9
10.06.2021,4411,9
11.06.2021,4425,14
13.06.2021,4433,8
14.06.2021,4442,9
15.06.2021,4451,9
16.06.2021,4460,9
17.06.2021,4475,15
18.06.2021,4486,11
19.06.2021,4508,22
22.06.2021,4515,7
23.06.2021,4528,13
24.06.2021,4547,19
25.06.2021,4555,8
26.06.2021,4558,3
27.06.2021,4582,24
28.06.2021,4590,8
29.06.2021,4599,9
30.06.2021,4608,9
01.07.2021,4618,10
18.07.2021,4633,15
19.07.2021,4642,9
20.07.2021,4656,14
21.07.2021,4667,11
22.07.2021,4676,9
23.07.2021,4686,10
26.07.2021,4696,10
27.07.2021,4705,9
28.07.2021,4717,12
29.07.2021,4725,8
30.07.2021,4734,9
31.07.2021,4740,6
02.08.2021,4749,9
03.08.2021,4757,8
04.08.2021,4766,9
05.08.2021,4774,8
06.08.2021,4783,9
07.08.2021,4806,23
08.08.2021,4828,22
09.08.2021,4837,9
10.08.2021,4845,8
11.08.2021,4865,20
12.08.2021,4875,10
13.08.2021,4888,13
14.08.2021,4890,2
15.08.2021,4907,17
16.08.2021,4916,9
17.08.2021,4926,10
18.08.2021,4936,10
19.08.2021,4956,20
20.08.2021,4965,9
30.08.2021,4974,9
31.08.2021,4982,8
01.09.2021,4992,10
02.09.2021,5000,8
06.09.2021,5008,8
07.09.2021,5025,17
08.09.2021,5035,10
09.09.2021,5051,16
11.09.2021,5092,41
13.09.2021,5105,13
20.09.2021,5114,9
21.09.2021,5128,14
22.09.2021,5140,12
23.09.2021,5149,9
24.09.2021,5157,8
25.09.2021,5164,7
27.09.2021,5178,14
28.09.2021,5194,16
29.09.2021,5204,10
30.09.2021,5225,21
02.10.2021,5237,12
04.10.2021,5245,8
05.10.2021,5261,16
06.10.2021,5274,13
07.10.2021,5286,12
08.10.2021,5315,29
09.10.2021,5327,12
10.10.2021,5335,8
11.10.2021,5348,13
12.10.2021,5357,9
13.10.2021,5368,11
14.10.2021,5376,8
15.10.2021,5385,9
16.10.2021,5387,2
17.10.2021,5399,12
18.10.2021,5411,12
19.10.2021,5420,9
20.10.2021,5429,9
21.10.2021,5437,8
25.10.2021,5446,9
26.10.2021,5459,13
27.10.2021,5469,10
28.10.2021,5477,8
29.10.2021,5486,9
30.10.2021,5489,3
31.10.2021,5499,10
01.11.2021,5502,3
02.11.2021,5514,12
03.11.2021,5525,11
04.11.2021,5535,10
08.11.2021,5544,9
09.11.2021,5555,11
10.11.2021,5564,9
11.11.2021,5579,15
12.11.2021,5588,9
15.11.2021,5599,11
16.11.2021,5609,10
17.11.2021,5612,3
18.11.2021,5621,9
19.11.2021,5628,7
22.11.2021,5637,9
23.11.2021,5646,9
24.11.2021,5657,11
25.11.2021,5666,9
26.11.2021,5674,8
27.11.2021,5677,3
29.11.2021,5685,8
30.11.2021,5703,18
01.12.2021,5712,9
02.12.2021,5727,15
03.12.2021,5736,9
04.12.2021,5745,9
06.12.2021,5753,8
07.12.2021,5763,10
08.12.2021,5781,18
09.12.2021,5793,12
10.12.2021,5815,22
11.12.2021,5818,3
13.12.2021,5828,10
14.12.2021,5837,9
15.12.2021,5845,8
16.12.2021,5854,9
17.12.2021,5865,11
20.12.2021,5875,10
21.12.2021,5883,8
22.12.2021,5893,10
23.12.2021,5897,4
27.12.2021,5911,14
28.12.2021,5914,3
29.12.2021,5921,7
31.12.2021,5928,7
03.01.2022,5943,15
04.01.2022,5946,3
06.01.2022,5963,17
07.01.2022,5975,12
08.01.2022,5978,3
09.01.2022,5984,6
10.01.2022,5993,9
11.01.2022,6007,14
12.01.2022,6016,9
13.01.2022,6027,11
19.01.2022,6030,3
20.01.2022,6043,13
21.01.2022,6074,31
23.01.2022,6100,26
24.01.2022,6108,8
25.01.2022,6127,19
26.01.2022,6136,9
27.01.2022,6153,17
28.01.2022,6160,7
29.01.2022,6163,3
30.01.2022,6164,1
31.01.2022,6173,9
01.02.2022,6183,10
02.02.2022,6198,15
03.02.2022,6215,17
04.02.2022,6225,10
05.02.2022,6228,3
07.02.2022,6238,10
08.02.2022,6246,8
09.02.2022,6263,17
10.02.2022,6272,9
11.02.2022,6281,9
12.02.2022,6284,3
13.02.2022,6286,2
14.02.2022,6295,9
15.02.2022,6304,9
16.02.2022,6312,8
18.02.2022,6321,9
19.02.2022,6324,3
21.02.2022,6334,10
22.02.2022,6345,11
23.02.2022,6362,17
24.02.2022,6382,20
25.02.2022,6401,19
26.02.2022,6404,3
28.02.2022,6425,21
01.03.2022,6442,17
02.03.2022,6451,9
03.03.2022,6469,18
04.03.2022,6476,7
05.03.2022,6500,24
07.03.2022,6509,9
08.03.2022,6517,8
09.03.2022,6526,9
10.03.2022,6533,7
11.03.2022,6542,9
12.03.2022,6544,2
14.03.2022,6553,9
15.03.2022,6565,12
16.03.2022,6575,10
17.03.2022,6584,9
19.03.2022,6587,3
20.03.2022,6595,8
22.03.2022,6606,11
23.03.2022,6615,9
24.03.2022,6627,12
25.03.2022,6638,11
26.03.2022,6645,7
28.03.2022,6654,9
29.03.2022,6664,10
30.03.2022,6673,9
31.03.2022,6682,9
01.04.2022,6693,11
03.04.2022,6702,9
07.04.2022,6718,16
08.04.2022,6731,13
09.04.2022,6740,9
11.04.2022,6749,9
12.04.2022,6759,10
13.04.2022,6769,10
14.04.2022,6778,9
25.04.2022,6791,13
26.04.2022,6802,11
27.04.2022,6818,16
28.04.2022,6827,9
02.05.2022,6846,19
03.05.2022,6856,10
04.05.2022,6865,9
05.05.2022,6883,18
06.05.2022,6901,18
07.05.2022,6904,3
08.05.2022,6906,2
09.05.2022,6915,9
10.05.2022,6932,17
11.05.2022,6942,10
12.05.2022,6960,18
13.05.2022,6969,9
14.05.2022,6987,18
15.05.2022,7004,17
16.05.2022,7023,19
17.05.2022,7032,9
18.05.2022,7058,26
19.05.2022,7073,15
20.05.2022,7087,14
22.05.2022,7095,8
23.05.2022,7104,9
24.05.2022,7126,22
25.05.2022,7138,12
26.05.2022,7140,2
28.05.2022,7145,5
30.05.2022,7161,16
31.05.2022,7172,11
01.06.2022,7185,13
02.06.2022,7204,19
03.06.2022,7213,9
04.06.2022,7219,6
05.06.2022,7292,73
06.06.2022,7380,88
07.06.2022,7469,89
08.06.2022,7540,71
09.06.2022,7624,84
10.06.2022,7705,81
11.06.2022,7775,70
13.06.2022,7787,12
14.06.2022,7792,5
15.06.2022,7803,11
16.06.2022,7811,8
17.06.2022,7830,19
18.06.2022,7841,11
19.06.2022,7859,18
21.06.2022,7882,23
22.06.2022,7891,9
23.06.2022,7910,19
24.06.2022,7934,24
25.06.2022,7937,3
27.06.2022,7946,9
28.06.2022,7965,19
29.06.2022,7987,22
30.06.2022,7997,10
01.07.2022,8004,7
02.07.2022,8022,18
03.07.2022,8024,2
05.07.2022,8035,11
06.07.2022,8044,9
07.07.2022,8052,8
08.07.2022,8069,17
09.07.2022,8072,3
10.07.2022,8086,14
11.07.2022,8100,14
12.07.2022,8115,15
13.07.2022,8141,26
14.07.2022,8152,11
15.07.2022,8161,9
01.08.2022,8164,3
02.08.2022,8178,14
03.08.2022,8186,8
04.08.2022,8197,11
05.08.2022,8212,15
06.08.2022,8215,3
07.08.2022,8217,2
08.08.2022,8226,9
09.08.2022,8235,9
10.08.2022,8246,11
11.08.2022,8256,10
12.08.2022,8264,8
13.08.2022,8275,11
14.08.2022,8282,7
15.08.2022,8291,9
16.08.2022,8300,9
17.08.2022,8308,8
18.08.2022,8313,5
19.08.2022,8326,13
20.08.2022,8329,3
21.08.2022,8331,2
22.08.2022,8340,9
23.08.2022,8350,10
24.08.2022,8359,9
25.08.2022,8383,24
26.08.2022,8412,29
29.08.2022,8420,8
30.08.2022,8439,19
31.08.2022,8447,8
01.09.2022,8458,11
03.09.2022,8461,3
04.09.2022,8474,13
05.09.2022,8483,9
06.09.2022,8496,13
07.09.2022,8507,11
08.09.2022,8514,7
10.09.2022,8519,5
11.09.2022,8526,7
12.09.2022,8537,11
13.09.2022,8564,27
14.09.2022,8577,13
15.09.2022,8586,9
16.09.2022,8595,9
17.09.2022,8598,3
19.09.2022,8606,8
20.09.2022,8615,9
26.09.2022,8618,3
27.09.2022,8629,11
28.09.2022,8646,17
29.09.2022,8655,9
30.09.2022,8664,9
01.10.2022,8666,2
04.10.2022,8676,10
10.10.2022,8698,22
11.10.2022,8706,8
12.10.2022,8719,13
13.10.2022,8737,18
17.10.2022,8745,8
18.10.2022,8758,13
19.10.2022,8767,9
20.10.2022,8775,8
21.10.2022,8791,16
29.10.2022,8794,3
31.10.2022,8798,4
01.11.2022,8810,12
02.11.2022,8821,11
03.11.2022,8830,9
04.11.2022,8838,8
05.11.2022,8841,3
06.11.2022,8846,5
07.11.2022,8857,11
08.11.2022,8865,8
09.11.2022,8883,18
10.11.2022,8890,7
12.11.2022,8892,2
14.11.2022,8901,9
15.11.2022,8911,10
17.11.2022,8919,8
18.11.2022,8940,21
19.11.2022,8951,11
21.11.2022,8956,5
27.11.2022,8959,3
28.11.2022,8968,9
29.11.2022,8993,25
30.11.2022,9002,9
01.12.2022,9011,9
02.12.2022,9021,10
03.12.2022,9043,22
05.12.2022,9067,24
06.12.2022,9086,19
07.12.2022,9103,17
08.12.2022,9121,18
09.12.2022,9131,10
10.12.2022,9134,3
12.12.2022,9143,9
13.12.2022,9151,8
14.12.2022,9166,15
15.12.2022,9177,11
17.12.2022,9179,2
19.12.2022,9183,4
22.12.2022,9185,2
24.12.2022,9190,5
28.12.2022,9198,8
31.12.2022,9200,2
01.01.2023,9214,14
03.01.2023,9216,2
04.01.2023,9234,18
05.01.2023,9246,12
06.01.2023,9251,5
07.01.2023,9254,3
09.01.2023,9262,8
10.01.2023,9281,19
11.01.2023,9292,11
12.01.2023,9301,9
13.01.2023,9313,12
14.01.2023,9316,3
16.01.2023,9324,8
17.01.2023,9342,18
19.01.2023,9352,10
20.01.2023,9362,10
21.01.2023,9365,3
23.01.2023,9374,9
24.01.2023,9383,9
25.01.2023,9394,11
27.01.2023,9402,8
28.01.2023,9405,3
30.01.2023,9407,2
01.02.2023,9416,9
02.02.2023,9433,17
03.02.2023,9442,9
04.02.2023,9445,3
06.02.2023,9450,5
07.02.2023,9462,12
08.02.2023,9471,9
09.02.2023,9485,14
11.02.2023,9488,3
14.02.2023,9492,4
18.02.2023,9495,3
19.02.2023,9501,6
20.02.2023,9511,10
21.02.2023,9519,8
22.02.2023,9528,9
24.02.2023,9536,8
25.02.2023,9546,10
27.02.2023,9564,18
28.02.2023,9582,18
01.03.2023,9602,20
02.03.2023,9612,10
03.03.2023,9621,9
04.03.2023,9626,5
09.03.2023,9641,15
13.03.2023,9653,12
14.03.2023,9663,10
15.03.2023,9674,11
16.03.2023,9689,15
17.03.2023,9697,8
18.03.2023,9712,15
20.03.2023,9722,10
21.03.2023,9736,14
22.03.2023,9746,10
23.03.2023,9754,8
24.03.2023,9765,11
25.03.2023,9775,10
27.03.2023,9783,8
28.03.2023,9792,9
29.03.2023,9803,11
30.03.2023,9829,26
31.03.2023,9839,10
01.04.2023,9847,8
03.04.2023,9856,9
04.04.2023,9864,8
05.04.2023,9885,21
06.04.2023,9894,9
16.04.2023,9896,2
17.04.2023,9909,13
18.04.2023,9918,9
19.04.2023,9942,24
20.04.2023,9951,9
21.04.2023,9964,13
22.04.2023,9992,28
23.04.2023,10010,18
24.04.2023,10022,12
